Frame,X,Y,Visibility,L,Theta,score
193,648,109,1,1.7433463633060455,-18.9374918257836,0.47993773221969604
194,645,102,1,1.0,0.0,0.551515519618988
195,716,45,1,4.101932138204575,8.227123777301923,0.5750576853752136
196,712,45,1,3.9996187686920166,-0.7906918232234228,0.5306599736213684
197,0,0,0,-inf,-inf,0.30797362327575684
198,318,52,1,0.0,0.0,0.4097245931625366
199,318,52,1,0.0,0.0,0.7191527485847473
200,0,0,0,-inf,-inf,0.45136842131614685
201,611,101,1,1.4142136573791504,0.0,0.49471330642700195
202,690,211,1,2.1500928103923798,-10.625252753883846,0.5380522012710571
203,688,210,1,0.0,0.0,0.417618989944458
204,691,210,1,1.0,0.0,0.4376772940158844
205,0,0,0,-inf,-inf,0.3200225532054901
206,543,58,1,2.710618630051613,-80.64278089348439,0.7341971397399902
207,543,62,1,2.818879798054695,-73.82627825018432,0.704553484916687
208,543,67,1,2.6917088627815247,69.6580137593935,0.7068005204200745
209,544,75,1,2.5043201595544815,22.113635703851802,0.6923152804374695
210,544,71,1,2.4119095504283905,-37.87498365126752,0.7209819555282593
211,544,78,1,3.0961406156420708,83.30375112314125,0.6910582780838013
212,545,84,1,3.0385503247380257,-83.00985471202465,0.7028456926345825
213,840,32,1,8.724013864994049,-26.09909938614375,0.699978768825531
214,546,72,1,2.6896707713603973,-19.13655797535522,0.6821823716163635
215,0,0,0,-inf,-inf,0.2871335744857788
216,318,52,1,0.0,0.0,0.4317428469657898
217,547,68,1,2.012461245059967,26.565051176942205,0.5027062892913818
218,0,0,0,-inf,-inf,0.3164362907409668
219,0,0,0,-inf,-inf,0.3993523120880127
220,545,58,1,0.0,0.0,0.4305232763290405
221,0,0,0,-inf,-inf,0.22627495229244232
222,318,52,1,0.0,0.0,0.4202469289302826
223,318,52,1,0.0,0.0,0.5883591175079346
224,0,0,0,-inf,-inf,0.5320437550544739
225,0,0,0,-inf,-inf,0.30210673809051514
226,0,0,0,-inf,-inf,0.1854722648859024
227,0,0,0,-inf,-inf,0.31458914279937744
228,681,220,1,4.291163086891174,39.44535025321633,0.8242265582084656
229,681,218,1,3.603736400604248,35.50806857417866,0.7162755131721497
230,681,214,1,4.220664814114571,24.435266354529517,0.674495279788971
231,691,214,1,2.558128096163273,-3.618461012725997,0.5903488993644714
232,696,210,1,2.895775556564331,-37.628218581932934,0.5403108596801758
233,699,212,1,2.474873900413513,45.000000001091834,0.6667231321334839
234,701,211,1,2.677588939666748,-74.24786664012736,0.7189769148826599
235,708,34,1,3.603161871433258,-31.604018015464963,0.7169365882873535
236,706,205,1,4.080880515277386,-5.829282710284795,0.7320965528488159
237,705,204,1,5.101629097014666,4.466475979929057,0.7871723771095276
238,0,0,0,-inf,-inf,0.3361830413341522
239,0,0,0,-inf,-inf,0.27113282680511475
240,317,52,1,1.5,0.0,0.47139835357666016
241,546,31,1,1.802752673625946,56.599295256555756,0.5108616352081299
242,818,42,1,0.7071067690849304,-44.9999999966682,0.4526512026786804
243,709,33,1,3.535512574017048,-7.931850226609204,0.8397113680839539
244,712,33,1,2.826850652694702,-43.086907226346604,0.6629869341850281
245,818,42,1,2.9727253019809723,-21.659558198310446,0.5616809129714966
246,812,39,1,2.913018688559532,61.38879195635781,0.5735710859298706
247,807,36,1,3.639554411172867,16.89524911867648,0.7926567792892456
248,806,36,1,3.161456048488617,19.741010947382925,0.8312669992446899
249,805,35,1,3.154093325138092,28.781160270920402,0.7991414070129395
250,0,0,0,-inf,-inf,0.3151610791683197
251,0,0,0,-inf,-inf,0.3994194567203522
252,725,180,1,0.0,0.0,0.4012521803379059
253,725,181,1,0.0,0.0,0.41633304953575134
254,883,75,1,2.828427314758301,-44.99999999787391,0.7181706428527832
255,882,75,1,2.8284270763397217,0.0,0.8235151767730713
